,segment,计数
3555,一辈子,206
44694,热情,206
50455,第一,205
16653,发展,205
48139,相识,205
24828,实现,204
34976,收获,202
3143,一本,202
44002,漂亮,202
60987,远方,201
36771,时代,201
23305,好吃,200
3876,三个,200
15251,十分,200
52474,缺点,200
53239,考虑,200
10548,信息,199
23738,妹子,199
34846,擅长,199
47988,相互,199
57056,见到,198
46945,男孩,198
32056,所谓,198
50064,空间,197
893,90,197
4320,上班,197
52832,群里,196
37999,有个,196
51075,粉丝,195
19646,嘉宾,195
66354,高考,195
21284,夏天,195
51216,精神,194
29309,微笑,193
46591,生气,193
23753,始终,193
60719,这句,193
16573,反正,192
12732,冬天,192
16350,去年,192
13918,初中,192
20732,坐标,192
27246,带来,192
12042,共同,192
41814,没什么,191
10389,便是,190
38632,本书,190
35608,文化,190
36043,方向,189
28990,很大,189
43530,渐渐,189
31781,我能,189
18454,听说,189
31019,感到,189
58249,读者,188
48836,知识,188
34908,支持,188
24000,嫌弃,188
4426,下午,187
61761,遗憾,187
5660,世间,187
2909,一家,186
14597,加入,186
31402,成绩,185
24955,室友,185
48772,瞬间,185
28080,建议,184
20937,基本,184
432,2017,184
133,12,183
21779,大二,183
46888,电话,183
49335,社群,182
54303,自信,182
16392,参与,182
43641,渴望,182
18877,咖啡,181
48474,真心,181
29736,志同道合,181
61179,迷茫,180
47311,痛苦,180
43965,满足,180
18267,向往,179
3277,一片,178
4396,上面,178
60599,还好,178
61337,适合,178
36857,时而,177
60896,进入,177
27708,幻想,177
22509,天空,177
33443,拥抱,176
36690,早上,176
18710,周末,176
54499,自荐,176
30846,想想,175
18751,味道,175
26286,尤其,175
31423,成都,174
12441,再也,174
23145,女子,173
61320,送给,173
14558,办法,172
61870,那一刻,172
11070,偷偷,171
32428,打算,171
3635,一首,171
60573,还会,170
53243,考试,170
22791,失去,170
27300,帮助,169
6608,主要,169
23737,妹妹,169
59485,距离,169
18233,后面,168
22398,天天,168
53235,考研,168
9,......,168
16160,历史,167
58606,负责,167
55358,英语,167
56648,表白,166
14909,包容,165
18537,吸引,165
31121,愿望,165
19838,四年,165
66913,默默,164
21690,夜晚,164
58401,谈恋爱,164
10039,余生,164
12583,写字,164
46303,理由,164
58740,购买,163
64680,青年,163
25707,小姐姐,163
25719,小学,163
49888,程序员,163
36952,明天,162
4135,三观,162
50597,第二天,162
13499,出生,161
16098,却是,161
55687,获得,161
12493,再次,160
12600,写文,160
4942,不必,160
63044,错过,160
23945,婚姻,159
3211,一段时间,159
18162,后悔,159
10109,作家,158
14529,力量,158
15817,南方,158
3346,一眼,157
37920,最美,157
8851,从未,157
26348,尴尬,157
43440,清楚,157
15032,北方,157
30681,惊喜,156
35303,教室,156
21756,大三,156
22754,太阳,156
19573,喝酒,156
8989,付出,155
18440,听歌,155
45212,父亲,155
16195,压力,155
43219,深刻,155
2605,一个月,155
43023,消息,155
41896,没想到,154
13838,刚好,154
59511,跟着,154
25400,对象,154
54527,自述,153
27980,度过,153
7479,事物,153
12552,写下,153
3272,一点点,153
39732,校友,152
8101,交朋友,152
17424,可惜,152
60950,进行,152
4511,下班,152
29520,心灵,151
3611,一面,151
36325,无戒,151
12609,写文章,151
59299,超级,151
62531,重新,150
22163,大神,150
7190,书写,150
29710,忍不住,150
6,...,149
39788,根本,149
66089,骄傲,148
41821,没关系,148
24528,安慰,148
50456,第一个,148
9946,体验,148
17849,合适,148
32963,报名,147
35330,教育,147
21427,外面,146
41795,没事,146
